FRAME,BIGSLIDER,PAN,TILT,MTURN,FOCUS
0,0.0,-16.32460634256386,22.105934594762658,177.67871078104164,451.4797058105469
1,0.0,-16.32460634256386,22.105934594762658,177.67871078104164,451.4797058105469
2,0.013444565236568451,-16.3077221149163,22.096686518615893,177.67412089391416,451.3194580078125
3,0.05380796641111374,-16.256879894223918,22.06879202601369,177.66031025139662,450.8411865234375
4,0.12113385647535324,-16.171721095554894,22.02204450373341,177.63727885348902,450.0473327636719
5,0.21546466648578644,-16.051808586801837,21.956163914018774,177.60502670019136,448.9381103515625
6,0.3368416428565979,-15.896706943404665,21.870663605890858,177.56349914999024,447.51483154296875
7,0.48530465364456177,-15.705900486080452,21.765203777438064,177.5127371840207,445.7797546386719
8,0.6608924269676208,-15.478784743086964,21.639198739938394,177.45268616076933,443.7365417480469
9,0.8636422157287598,-15.214837204952094,21.492091832973856,177.38334608023612,441.3902282714844
10,1.0935899019241333,-14.91335436219053,21.32319491498479,177.30470328204274,438.7468566894531
11,1.3507699966430664,-14.573731743060032,21.131801061391283,177.2167441058108,435.8143310546875
12,1.6352156400680542,-14.195225710713869,20.91707357401906,177.11945489116198,432.6017150878906
13,1.946958303451538,-13.777137878308606,20.678206490545136,177.0128492984746,429.11993408203125
14,2.2860288619995117,-13.318804009946701,20.414204310896846,176.8968863466136,425.38134765625
15,2.6524548530578613,-12.81951718104825,20.1241688651973,176.771566035579,421.3999938964844
16,3.0462639331817627,-12.278592665148178,19.807002200536175,176.63688836537082,417.1918029785156
17,3.4674816131591797,-11.695405499936713,19.461652467780077,176.49282601523228,412.7742919921875
18,3.9161312580108643,-11.069405001411395,19.0870456196808,176.3393926455418,408.1667785644531
19,4.39223575592041,-10.40001914122858,18.682042722192943,176.17656093554262,403.390625
20,4.895815372467041,-9.686920070307735,18.24553899221699,176.00434454561315,398.46856689453125
21,5.426888942718506,-8.929806406551386,17.77645696741014,175.8227161549966,393.42529296875
22,5.985472679138184,-8.128515932966563,17.273751628828194,175.63167576369307,388.287109375
23,6.571581840515137,-7.283157078806461,16.736449674513306,175.4312233717025,383.0820007324219
24,7.1852312088012695,-6.393894195498174,16.163724651574963,175.22135897902487,377.8388671875
25,7.8264312744140625,-5.461245523645566,15.554813286372543,175.00206892528186,372.5884704589844
26,8.495189666748047,-4.485976044436554,14.909239173210894,174.7733532104735,367.36199951171875
27,9.19151782989502,-3.4690603404894484,14.226707760181723,174.5352118345997,362.19171142578125
28,9.915419578552246,-2.4118497220443973,13.50719087275467,174.28763113728218,357.10986328125
29,10.66689682006836,-1.3160232417003785,12.750966841138734,174.03062477889927,352.149169921875
30,11.445952415466309,-0.18359376421222348,11.958676849342979,173.76419275945096,347.3416442871094
31,12.252588272094727,0.9830338034786014,11.13141885027774,173.4883214185589,342.7184753417969
32,13.086797714233398,2.181102452842427,10.27062462234942,173.2030244166015,338.3096923828125
33,13.948577880859375,3.4074932286840145,9.378273212872287,172.9082880932003,334.1433410644531
34,14.837921142578125,4.6587081136489665,8.456744942774813,172.6041397691121,330.24530029296875
35,15.754817962646484,5.930898723022408,7.508891416038737,172.2905657839585,326.63861083984375
36,16.699260711669922,7.219973560043415,6.538061986682131,171.9675661377395,323.3430480957031
37,17.671226501464844,8.521507942785231,5.5479714238440785,171.63515449083351,320.3747863769531
38,18.67070770263672,9.830882528929534,4.542690520274561,171.2933171828621,317.7459411621094
39,19.69767951965332,11.143317039825499,3.52661770436068,170.94209519496036,315.464599609375
40,20.752126693725586,12.453893739265096,2.5043435035601647,170.58147486674997,313.53424072265625
41,21.834020614624023,13.757665862736296,1.4806484099672514,170.21146985860923,311.953857421875
42,22.943336486816406,15.049720796672947,0.46021814680133505,169.8320801705382,310.7181091308594
43,24.080045700073242,16.32521935204257,-0.5521798138914682,169.44331946291518,309.81732177734375
44,25.244117736816406,17.579431622839525,-1.5520512076321544,169.04521505649694,309.2377624511719
45,26.435516357421875,18.807854806848336,-2.5350379468384525,168.63775329090507,308.9620666503906
46,27.654205322265625,20.006221743380163,-3.497152268247576,168.22096148689627,308.9693298339844
47,28.9001522064209,21.170581167995635,-4.43477395815187,167.79485330484897,309.2361755371094
48,30.173301696777344,22.29717818419425,-5.344664866550813,167.3594287447631,309.73663330078125
49,31.473615646362305,23.382768452116547,-6.224009888286087,166.91472878777378,310.4429016113281
50,32.801055908203125,24.424263018706853,-7.0704611458278155,166.4607397735026,311.3260498046875
51,34.155548095703125,25.41904079886818,-7.882092952714679,165.9975026830847,312.3561096191406
52,35.53705978393555,26.364719764124768,-8.657374065910373,165.52501751652,313.5030212402344
53,36.945533752441406,27.259366970939297,-9.395212082033273,165.0433252549436,314.7367248535156
54,38.380889892578125,28.101283409753776,-10.094828359517107,164.5524258983555,316.0278625488281
55,39.84309005737305,28.88902278800981,-10.755772959649788,164.05237408826915,317.3476257324219
56,41.332054138183594,29.621437633925524,-11.377851222039745,163.54312884354943,318.6685791015625
57,42.84771728515625,30.297653683286157,-11.961122910842285,163.02478578684486,319.96478271484375
58,44.3900032043457,30.91687863414708,-12.505816837394864,162.49731759739873,321.2117919921875
59,45.95885467529297,31.478675354400913,-13.01231634606509,161.96076525634612,322.3868408203125
60,47.554161071777344,31.98255207042686,-13.481113210473763,161.41516974482207,323.46929931640625
61,49.17586898803711,32.42829021617122,-13.912765798586172,160.86054472320495,324.4403076171875
62,50.82387924194336,32.81572586709373,-14.307879435918199,160.2969311726298,325.28314208984375
63,52.498111724853516,33.14472241941084,-14.667093598931618,159.724342753475,325.9830322265625
64,54.19846725463867,33.41522523160912,-14.99099312257478,159.14282044687565,326.5273132324219
65,55.92484664916992,33.62715234141844,-15.280185039910862,158.5523915735884,326.9053955078125
66,57.677162170410156,33.78058229601434,-15.535198690601145,157.95309711474835,327.1087341308594
67,59.45531463623047,33.87544337841045,-15.756495112415134,157.34497805149056,327.130615234375
68,61.25918960571289,33.91172534332302,-15.944516560102091,156.72804804419337,326.9664306640625
69,63.088687896728516,33.88940086999533,-16.0995755148169,156.10236173437025,326.61370849609375
70,64.94367980957031,33.80831969426546,-16.221890542613256,155.4679601031562,326.0713806152344
71,66.82405090332031,33.66840326895787,-16.31159824727471,154.82485681092965,325.3404846191406
72,68.72970581054688,33.46951157519441,-16.368737902389036,154.17313381996067,324.4240417480469
73,70.66049194335938,33.23895170930801,-16.409814660104427,153.51280479062763,323.4125061035156
74,72.61630249023438,33.00415712613136,-16.451384898987918,152.84391070406562,322.3940734863281
75,74.59698486328125,32.76510050490775,-16.493419590735503,152.1665198621664,321.3690185546875
76,76.60242462158203,32.52172720412376,-16.53590165987423,151.48067324606504,320.3377685546875
77,78.63247680664062,32.27400990302268,-16.57883622904599,150.78638451613992,319.3006286621094
78,80.68700408935547,32.02194860160451,-16.622207930325132,150.08374929503947,318.2580261230469
79,82.76583862304688,31.7654647526937,-16.666001395786,149.37276758276377,317.2103576660156
80,84.86886596679688,31.504548111006486,-16.710221748070488,148.65353500196125,316.1580505371094
81,86.99589538574219,31.239154280313215,-16.75483654377999,147.92609253376696,315.1014404296875
82,89.14680480957031,30.969276430424706,-16.799847490461808,147.19048115931605,314.041015625
83,91.32140350341797,30.694842844354593,-16.84521360698087,146.4467691805002,312.9771423339844
84,93.51953125,30.415870597575818,-16.89095026126283,145.69501123883293,311.9103088378906
85,95.74102020263672,30.132277727818252,-16.937026717456384,144.9352619758276,310.8409423828125
86,97.9857177734375,29.84407106527107,-16.98342931518318,144.16756237261927,309.7694396972656
87,100.25341033935547,29.55122328917756,-17.030146101612157,143.39202171223482,308.6962890625
88,102.54395294189453,29.253672927835126,-17.077166831459547,142.60866731543095,307.6219482421875
89,104.85713195800781,28.95142339633835,-17.1244454009484,141.81755382372106,306.5468444824219
90,107.19275665283203,28.64442176072111,-17.171997178004364,141.01876319937531,305.4715270996094
91,109.5506591796875,28.33269021909823,-17.219781181492372,140.21236374428548,304.39642333984375
92,111.93063354492188,28.01615193184146,-17.26777009065572,139.39839643958663,303.322021484375
93,114.33246612548828,27.69483251216022,-17.3159639054944,138.5769705683056,302.248779296875
94,116.75595092773438,27.36864829023708,-17.3643353052517,137.74814077195583,301.1772766113281
95,119.20089721679688,27.03766244532193,-17.412856969170917,136.9119616920507,300.1079406738281
96,121.66705322265625,26.701777647218996,-17.461515236873687,136.06855627199548,299.04132080078125
97,124.15426635742188,26.361031461968746,-17.510269127224948,135.21792451179007,297.9779357910156
98,126.6622314453125,26.015398276361772,-17.559104979846342,134.36020301521813,296.918212890625
99,129.1907958984375,25.66484393945218,-17.60799547398116,133.49543276341467,295.86285400390625
100,131.7397003173828,25.30937698897644,-17.656913288872687,132.6237093790282,294.8122253417969
101,134.30868530273438,24.948961566441373,-17.70582939621692,131.7451011639505,293.7669372558594
102,136.89759826660156,24.58362499260369,-17.75472159789903,130.85969008045166,292.7275390625
103,139.50607299804688,24.21335019199044,-17.80355915806772,129.96759907193695,291.6944885253906
104,142.13394165039062,23.838152532527282,-17.852295972946035,129.06885545916302,290.66845703125
105,144.78097534179688,23.45798591043726,-17.900942287817745,128.1635821855351,289.64990234375
106,147.44686889648438,23.072896429497327,-17.949422970601894,127.25184755294497,288.6393737792969
107,150.13137817382812,22.682892627443955,-17.99772606846742,126.33373352366276,287.6374816894531
